comando,texto
cerrarPuerta,Iniciando cierre de la puerta. Procesando.
anteriorMelodia,Volviendo a la pista anterior. Por favor.
apagarLuces,Apagando luces del hogar. Iniciando proceso.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
modoNormal,Regresando al modo estándar. Gracias.
apagarLuces,Apagando luces del hogar. Gracias.
modoNormal,Reestableciendo estado normal del sistema. Por favor.
modoSuper,Modo super activado. Por favor.
anteriorMelodia,Volviendo a la pista anterior. Gracias.
modoNormal,Regresando al modo estándar. Gracias.
modoNormal,Regresando al modo estándar. Ejecutando ahora.
encenderLuces,Las luces han sido encendidas.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
encenderLuces,Encendiendo luces del hogar. Gracias.
modoSuper,Activando estado de máximo nivel. Ejecutando ahora.
abrirPuerta,Iniciando apertura de la puerta. Ejecutando ahora.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Iniciando proceso.
siguienteMelodia,Avanzando a la siguiente pista musical. Ejecutando ahora.
apagarLuces,Desactivando iluminación general. Ejecutando ahora.
siguienteMelodia,Cambiando a la melodía siguiente. Gracias.
encenderLuces,Las luces han sido encendidas. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa. Ejecutando ahora.
modoNormal,Regresando al modo estándar. Por favor.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Ejecutando ahora.
siguienteMelodia,Avanzando a la siguiente pista musical.
apagarLuces,Desactivando iluminación general. Por favor.
modoSuper,Entrando al modo super. Solicitud recibida.
modoSuper,Activando estado de máximo nivel. Acción confirmada.
siguienteMelodia,Avanzando a la siguiente pista musical. Solicitud recibida.
modoSuper,Entrando al modo super. Acción confirmada.
encenderLuces,Encendiendo luces del hogar. Procesando.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
anteriorMelodia,Volviendo a la pista anterior. Iniciando proceso.
abrirPuerta,Accionando mecanismo para abrir la puerta. Por favor.
encenderLuces,Encendiendo luces del hogar. Procesando.
apagarLuces,Apagando luces del hogar. Iniciando proceso.
modoSuper,Activando estado de máximo nivel. Acción confirmada.
modoNormal,Reestableciendo estado normal del sistema. Iniciando proceso.
modoNormal,Regresando al modo estándar. Acción confirmada.
cerrarPuerta,Cerrando puerta principal. Gracias.
siguienteMelodia,Cambiando a la melodía siguiente. Procesando.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
siguienteMelodia,Cambiando a la melodía siguiente.
cerrarPuerta,Cerrando puerta principal. Acción confirmada.
modoNormal,Reestableciendo estado normal del sistema. Solicitud recibida.
anteriorMelodia,Reproduciendo la melodía anterior. Por favor.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
anteriorMelodia,Reproduciendo la melodía anterior. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
encenderLuces,Activando iluminación general. Ejecutando ahora.
apagarLuces,Desactivando iluminación general. Ejecutando ahora.
siguienteMelodia,Reproduciendo la siguiente melodía. Acción confirmada.
abrirPuerta,Abriendo puerta principal. Ejecutando ahora.
cerrarPuerta,Iniciando cierre de la puerta. Procesando.
modoSuper,Modo super activado. Ejecutando ahora.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
apagarLuces,Desactivando iluminación general.
modoSuper,Entrando al modo super.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
cerrarPuerta,Iniciando cierre de la puerta. Solicitud recibida.
cerrarPuerta,Cerrando puerta principal. Acción confirmada.
anteriorMelodia,Reproduciendo la melodía anterior. Iniciando proceso.
siguienteMelodia,Avanzando a la siguiente pista musical. Iniciando proceso.
abrirPuerta,Abriendo puerta principal. Solicitud recibida.
modoNormal,Modo normal activado. Iniciando proceso.
encenderLuces,Las luces han sido encendidas. Acción confirmada.
apagarLuces,Las luces han sido apagadas.
modoNormal,Modo normal activado. Acción confirmada.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
encenderLuces,Las luces han sido encendidas. Solicitud recibida.
modoNormal,Reestableciendo estado normal del sistema. Gracias.
cerrarPuerta,Accionando mecanismo para cerrar la puerta.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Ejecutando ahora.
anteriorMelodia,Reproduciendo la melodía anterior. Iniciando proceso.
siguienteMelodia,Cambiando a la melodía siguiente.
modoNormal,Modo normal activado. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Por favor.
cerrarPuerta,Iniciando cierre de la puerta.
encenderLuces,Las luces han sido encendidas. Ejecutando ahora.
modoNormal,Regresando al modo estándar. Iniciando proceso.
anteriorMelodia,Retrocediendo a la melodía previa. Procesando.
encenderLuces,Las luces han sido encendidas.
siguienteMelodia,Cambiando a la melodía siguiente. Procesando.
encenderLuces,Encendiendo luces del hogar. Acción confirmada.
encenderLuces,Activando iluminación general. Por favor.
encenderLuces,Encendiendo luces del hogar. Gracias.
anteriorMelodia,Retrocediendo a la melodía previa. Acción confirmada.
apagarLuces,Las luces han sido apagadas. Por favor.
siguienteMelodia,Cambiando a la melodía siguiente. Procesando.
anteriorMelodia,Volviendo a la pista anterior. Por favor.
modoSuper,Activando estado de máximo nivel. Ejecutando ahora.
siguienteMelodia,Avanzando a la siguiente pista musical. Iniciando proceso.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Por favor.
modoNormal,Regresando al modo estándar. Por favor.
siguienteMelodia,Cambiando a la melodía siguiente. Iniciando proceso.
anteriorMelodia,Reproduciendo la melodía anterior. Por favor.
encenderLuces,Encendiendo luces del hogar. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical. Gracias.
cerrarPuerta,Cerrando puerta principal. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Acción confirmada.
siguienteMelodia,Avanzando a la siguiente pista musical.
apagarLuces,Las luces han sido apagadas.
apagarLuces,Apagando luces del hogar. Iniciando proceso.
siguienteMelodia,Reproduciendo la siguiente melodía. Solicitud recibida.
encenderLuces,Encendiendo luces del hogar.
siguienteMelodia,Avanzando a la siguiente pista musical.
encenderLuces,Encendiendo luces del hogar. Iniciando proceso.
modoNormal,Regresando al modo estándar. Solicitud recibida.
abrirPuerta,Iniciando apertura de la puerta. Solicitud recibida.
encenderLuces,Activando iluminación general. Iniciando proceso.
abrirPuerta,Accionando mecanismo para abrir la puerta.
modoNormal,Reestableciendo estado normal del sistema. Por favor.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Procesando.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Por favor.
siguienteMelodia,Cambiando a la melodía siguiente. Ejecutando ahora.
abrirPuerta,Accionando mecanismo para abrir la puerta. Ejecutando ahora.
apagarLuces,Desactivando iluminación general. Ejecutando ahora.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
apagarLuces,Apagando luces del hogar. Iniciando proceso.
apagarLuces,Apagando luces del hogar. Ejecutando ahora.
abrirPuerta,Iniciando apertura de la puerta. Ejecutando ahora.
siguienteMelodia,Cambiando a la melodía siguiente.
modoSuper,Modo super activado. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
apagarLuces,Desactivando iluminación general. Ejecutando ahora.
anteriorMelodia,Reproduciendo la melodía anterior. Solicitud recibida.
abrirPuerta,Abriendo puerta principal. Iniciando proceso.
cerrarPuerta,Iniciando cierre de la puerta. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Acción confirmada.
abrirPuerta,Abriendo puerta principal. Solicitud recibida.
modoNormal,Reestableciendo estado normal del sistema. Solicitud recibida.
siguienteMelodia,Avanzando a la siguiente pista musical. Iniciando proceso.
anteriorMelodia,Reproduciendo la melodía anterior. Por favor.
modoNormal,Modo normal activado. Solicitud recibida.
modoNormal,Reestableciendo estado normal del sistema. Ejecutando ahora.
modoSuper,Entrando al modo super. Ejecutando ahora.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
encenderLuces,Encendiendo luces del hogar. Procesando.
abrirPuerta,Abriendo puerta principal. Gracias.
cerrarPuerta,Iniciando cierre de la puerta. Por favor.
siguienteMelodia,Reproduciendo la siguiente melodía. Iniciando proceso.
apagarLuces,Desactivando iluminación general. Procesando.
siguienteMelodia,Reproduciendo la siguiente melodía.
modoSuper,Entrando al modo super. Solicitud recibida.
modoNormal,Modo normal activado. Por favor.
anteriorMelodia,Volviendo a la pista anterior. Iniciando proceso.
anteriorMelodia,Reproduciendo la melodía anterior. Procesando.
modoSuper,Modo super activado. Solicitud recibida.
apagarLuces,Las luces han sido apagadas. Acción confirmada.
apagarLuces,Apagando luces del hogar. Ejecutando ahora.
apagarLuces,Desactivando iluminación general. Por favor.
siguienteMelodia,Cambiando a la melodía siguiente.
modoSuper,Entrando al modo super. Solicitud recibida.
abrirPuerta,Abriendo puerta principal. Ejecutando ahora.
anteriorMelodia,Reproduciendo la melodía anterior. Acción confirmada.
encenderLuces,Las luces han sido encendidas. Gracias.
anteriorMelodia,Volviendo a la pista anterior. Por favor.
modoNormal,Modo normal activado.
modoNormal,Reestableciendo estado normal del sistema. Gracias.
apagarLuces,Las luces han sido apagadas. Acción confirmada.
abrirPuerta,Abriendo puerta principal. Ejecutando ahora.
abrirPuerta,Iniciando apertura de la puerta. Iniciando proceso.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Solicitud recibida.
siguienteMelodia,Reproduciendo la siguiente melodía. Acción confirmada.
siguienteMelodia,Cambiando a la melodía siguiente. Por favor.
modoSuper,Entrando al modo super. Por favor.
abrirPuerta,Abriendo puerta principal. Iniciando proceso.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Acción confirmada.
encenderLuces,Las luces han sido encendidas. Gracias.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Procesando.
siguienteMelodia,Avanzando a la siguiente pista musical. Acción confirmada.
abrirPuerta,Iniciando apertura de la puerta. Por favor.
anteriorMelodia,Retrocediendo a la melodía previa. Por favor.
siguienteMelodia,Cambiando a la melodía siguiente. Por favor.
modoNormal,Reestableciendo estado normal del sistema. Iniciando proceso.
modoSuper,Activando estado de máximo nivel.
abrirPuerta,Abriendo puerta principal. Iniciando proceso.
encenderLuces,Activando iluminación general. Gracias.
cerrarPuerta,Iniciando cierre de la puerta. Solicitud recibida.
siguienteMelodia,Reproduciendo la siguiente melodía. Iniciando proceso.
encenderLuces,Encendiendo luces del hogar. Iniciando proceso.
cerrarPuerta,Iniciando cierre de la puerta. Ejecutando ahora.
abrirPuerta,Abriendo puerta principal. Solicitud recibida.
cerrarPuerta,Accionando mecanismo para cerrar la puerta.
apagarLuces,Desactivando iluminación general. Procesando.
apagarLuces,Desactivando iluminación general.
anteriorMelodia,Reproduciendo la melodía anterior. Iniciando proceso.
modoNormal,Modo normal activado. Ejecutando ahora.
cerrarPuerta,Iniciando cierre de la puerta. Gracias.
abrirPuerta,Iniciando apertura de la puerta. Procesando.
cerrarPuerta,Iniciando cierre de la puerta.
siguienteMelodia,Avanzando a la siguiente pista musical. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Ejecutando ahora.
anteriorMelodia,Reproduciendo la melodía anterior. Acción confirmada.
encenderLuces,Las luces han sido encendidas. Gracias.
abrirPuerta,Iniciando apertura de la puerta. Acción confirmada.
modoNormal,Reestableciendo estado normal del sistema. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical.
anteriorMelodia,Retrocediendo a la melodía previa. Solicitud recibida.
modoNormal,Regresando al modo estándar. Por favor.
modoSuper,Activando estado de máximo nivel. Gracias.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
modoNormal,Modo normal activado. Ejecutando ahora.
abrirPuerta,Iniciando apertura de la puerta.
anteriorMelodia,Reproduciendo la melodía anterior. Iniciando proceso.
modoNormal,Reestableciendo estado normal del sistema. Por favor.
anteriorMelodia,Reproduciendo la melodía anterior. Iniciando proceso.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Gracias.
anteriorMelodia,Volviendo a la pista anterior. Procesando.
modoNormal,Modo normal activado. Acción confirmada.
abrirPuerta,Accionando mecanismo para abrir la puerta. Solicitud recibida.
apagarLuces,Las luces han sido apagadas. Acción confirmada.
modoSuper,Entrando al modo super. Por favor.
encenderLuces,Encendiendo luces del hogar. Por favor.
siguienteMelodia,Avanzando a la siguiente pista musical. Gracias.
abrirPuerta,Abriendo puerta principal. Gracias.
siguienteMelodia,Avanzando a la siguiente pista musical. Procesando.
anteriorMelodia,Volviendo a la pista anterior. Gracias.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Ejecutando ahora.
modoSuper,Activando estado de máximo nivel. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta.
apagarLuces,Desactivando iluminación general. Acción confirmada.
apagarLuces,Apagando luces del hogar. Solicitud recibida.
apagarLuces,Desactivando iluminación general.
encenderLuces,Las luces han sido encendidas. Por favor.
apagarLuces,Apagando luces del hogar. Acción confirmada.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
modoNormal,Modo normal activado. Solicitud recibida.
cerrarPuerta,Iniciando cierre de la puerta. Ejecutando ahora.
modoNormal,Modo normal activado. Gracias.
modoSuper,Entrando al modo super.
encenderLuces,Las luces han sido encendidas. Por favor.
apagarLuces,Desactivando iluminación general. Ejecutando ahora.
modoSuper,Modo super activado. Procesando.
cerrarPuerta,Cerrando puerta principal. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Solicitud recibida.
apagarLuces,Las luces han sido apagadas. Procesando.
anteriorMelodia,Volviendo a la pista anterior. Gracias.
apagarLuces,Desactivando iluminación general.
anteriorMelodia,Volviendo a la pista anterior. Por favor.
siguienteMelodia,Reproduciendo la siguiente melodía. Gracias.
apagarLuces,Desactivando iluminación general. Solicitud recibida.
modoNormal,Modo normal activado. Solicitud recibida.
apagarLuces,Apagando luces del hogar. Por favor.
apagarLuces,Desactivando iluminación general. Gracias.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Por favor.
encenderLuces,Las luces han sido encendidas. Procesando.
abrirPuerta,Iniciando apertura de la puerta. Iniciando proceso.
abrirPuerta,Abriendo puerta principal. Por favor.
abrirPuerta,Accionando mecanismo para abrir la puerta. Ejecutando ahora.
anteriorMelodia,Retrocediendo a la melodía previa. Procesando.
siguienteMelodia,Reproduciendo la siguiente melodía. Gracias.
modoNormal,Regresando al modo estándar. Acción confirmada.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
apagarLuces,Apagando luces del hogar.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Solicitud recibida.
siguienteMelodia,Avanzando a la siguiente pista musical. Acción confirmada.
modoSuper,Modo super activado. Solicitud recibida.
anteriorMelodia,Reproduciendo la melodía anterior. Procesando.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
abrirPuerta,Iniciando apertura de la puerta. Por favor.
encenderLuces,Las luces han sido encendidas. Por favor.
siguienteMelodia,Avanzando a la siguiente pista musical. Procesando.
modoSuper,Entrando al modo super. Solicitud recibida.
apagarLuces,Desactivando iluminación general. Procesando.
abrirPuerta,Accionando mecanismo para abrir la puerta.
apagarLuces,Las luces han sido apagadas. Solicitud recibida.
siguienteMelodia,Avanzando a la siguiente pista musical. Solicitud recibida.
modoSuper,Entrando al modo super. Ejecutando ahora.
modoNormal,Modo normal activado. Procesando.
apagarLuces,Las luces han sido apagadas. Solicitud recibida.
encenderLuces,Activando iluminación general. Ejecutando ahora.
modoSuper,Entrando al modo super. Solicitud recibida.
modoNormal,Regresando al modo estándar.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
anteriorMelodia,Retrocediendo a la melodía previa. Procesando.
abrirPuerta,Iniciando apertura de la puerta. Procesando.
encenderLuces,Las luces han sido encendidas. Gracias.
encenderLuces,Las luces han sido encendidas. Ejecutando ahora.
anteriorMelodia,Volviendo a la pista anterior. Gracias.
modoSuper,Modo super activado. Por favor.
abrirPuerta,Abriendo puerta principal. Gracias.
modoSuper,Activando estado de máximo nivel. Solicitud recibida.
anteriorMelodia,Reproduciendo la melodía anterior. Gracias.
modoNormal,Modo normal activado. Solicitud recibida.
cerrarPuerta,Cerrando puerta principal.
cerrarPuerta,Iniciando cierre de la puerta.
modoSuper,Activando estado de máximo nivel.
modoNormal,Modo normal activado. Ejecutando ahora.
modoSuper,Activando estado de máximo nivel.
anteriorMelodia,Volviendo a la pista anterior. Solicitud recibida.
cerrarPuerta,Cerrando puerta principal. Gracias.
modoNormal,Modo normal activado. Solicitud recibida.
modoSuper,Entrando al modo super. Ejecutando ahora.
apagarLuces,Las luces han sido apagadas. Ejecutando ahora.
anteriorMelodia,Reproduciendo la melodía anterior.
modoNormal,Reestableciendo estado normal del sistema. Procesando.
modoSuper,Entrando al modo super.
siguienteMelodia,Cambiando a la melodía siguiente.
modoNormal,Regresando al modo estándar. Solicitud recibida.
cerrarPuerta,Iniciando cierre de la puerta. Solicitud recibida.
apagarLuces,Desactivando iluminación general. Acción confirmada.
siguienteMelodia,Avanzando a la siguiente pista musical.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
apagarLuces,Desactivando iluminación general. Acción confirmada.
apagarLuces,Desactivando iluminación general.
anteriorMelodia,Volviendo a la pista anterior. Iniciando proceso.
abrirPuerta,Abriendo puerta principal. Iniciando proceso.
modoNormal,Regresando al modo estándar. Iniciando proceso.
modoNormal,Regresando al modo estándar. Acción confirmada.
anteriorMelodia,Reproduciendo la melodía anterior. Acción confirmada.
modoNormal,Reestableciendo estado normal del sistema.
apagarLuces,Las luces han sido apagadas. Acción confirmada.
apagarLuces,Desactivando iluminación general. Solicitud recibida.
encenderLuces,Encendiendo luces del hogar. Por favor.
encenderLuces,Encendiendo luces del hogar. Acción confirmada.
anteriorMelodia,Retrocediendo a la melodía previa. Solicitud recibida.
encenderLuces,Las luces han sido encendidas. Por favor.
anteriorMelodia,Reproduciendo la melodía anterior.
siguienteMelodia,Avanzando a la siguiente pista musical. Solicitud recibida.
apagarLuces,Apagando luces del hogar. Procesando.
modoSuper,Modo super activado. Gracias.
anteriorMelodia,Reproduciendo la melodía anterior. Gracias.
apagarLuces,Las luces han sido apagadas. Gracias.
anteriorMelodia,Retrocediendo a la melodía previa. Solicitud recibida.
anteriorMelodia,Volviendo a la pista anterior.
abrirPuerta,Accionando mecanismo para abrir la puerta. Por favor.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Gracias.
anteriorMelodia,Retrocediendo a la melodía previa.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
siguienteMelodia,Cambiando a la melodía siguiente. Ejecutando ahora.
abrirPuerta,Iniciando apertura de la puerta. Iniciando proceso.
anteriorMelodia,Volviendo a la pista anterior. Gracias.
anteriorMelodia,Retrocediendo a la melodía previa.
anteriorMelodia,Retrocediendo a la melodía previa. Iniciando proceso.
abrirPuerta,Abriendo puerta principal. Por favor.
apagarLuces,Desactivando iluminación general. Ejecutando ahora.
apagarLuces,Apagando luces del hogar. Gracias.
modoSuper,Entrando al modo super. Iniciando proceso.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Ejecutando ahora.
encenderLuces,Las luces han sido encendidas. Solicitud recibida.
apagarLuces,Las luces han sido apagadas. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Por favor.
siguienteMelodia,Reproduciendo la siguiente melodía. Gracias.
anteriorMelodia,Reproduciendo la melodía anterior. Solicitud recibida.
abrirPuerta,Iniciando apertura de la puerta. Procesando.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
modoNormal,Modo normal activado. Ejecutando ahora.
anteriorMelodia,Retrocediendo a la melodía previa.
modoSuper,Modo super activado. Por favor.
modoNormal,Regresando al modo estándar. Gracias.
encenderLuces,Encendiendo luces del hogar. Gracias.
anteriorMelodia,Volviendo a la pista anterior. Iniciando proceso.
encenderLuces,Las luces han sido encendidas. Ejecutando ahora.
anteriorMelodia,Retrocediendo a la melodía previa. Solicitud recibida.
modoSuper,Entrando al modo super.
anteriorMelodia,Volviendo a la pista anterior.
modoNormal,Modo normal activado. Por favor.
modoNormal,Modo normal activado. Ejecutando ahora.
modoSuper,Activando estado de máximo nivel. Acción confirmada.
modoSuper,Modo super activado. Gracias.
modoNormal,Modo normal activado.
encenderLuces,Las luces han sido encendidas. Por favor.
cerrarPuerta,Cerrando puerta principal. Acción confirmada.
apagarLuces,Apagando luces del hogar. Solicitud recibida.
encenderLuces,Encendiendo luces del hogar. Acción confirmada.
modoNormal,Modo normal activado. Solicitud recibida.
modoNormal,Modo normal activado. Procesando.
encenderLuces,Encendiendo luces del hogar. Procesando.
modoSuper,Activando estado de máximo nivel. Iniciando proceso.
abrirPuerta,Abriendo puerta principal. Iniciando proceso.
siguienteMelodia,Cambiando a la melodía siguiente. Ejecutando ahora.
encenderLuces,Encendiendo luces del hogar. Gracias.
anteriorMelodia,Retrocediendo a la melodía previa. Ejecutando ahora.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Gracias.
modoSuper,Activando estado de máximo nivel. Acción confirmada.
modoNormal,Regresando al modo estándar. Iniciando proceso.
modoNormal,Regresando al modo estándar. Por favor.
encenderLuces,Activando iluminación general. Solicitud recibida.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
modoSuper,Modo super activado. Ejecutando ahora.
encenderLuces,Encendiendo luces del hogar. Gracias.
encenderLuces,Las luces han sido encendidas. Acción confirmada.
abrirPuerta,Accionando mecanismo para abrir la puerta. Procesando.
modoSuper,Entrando al modo super.
anteriorMelodia,Reproduciendo la melodía anterior. Ejecutando ahora.
encenderLuces,Activando iluminación general. Solicitud recibida.
encenderLuces,Encendiendo luces del hogar. Solicitud recibida.
apagarLuces,Desactivando iluminación general.
modoNormal,Regresando al modo estándar. Acción confirmada.
abrirPuerta,Iniciando apertura de la puerta. Iniciando proceso.
modoSuper,Entrando al modo super.
modoSuper,Entrando al modo super. Acción confirmada.
encenderLuces,Encendiendo luces del hogar.
cerrarPuerta,Iniciando cierre de la puerta.
modoSuper,Modo super activado. Solicitud recibida.
apagarLuces,Las luces han sido apagadas. Acción confirmada.
abrirPuerta,Abriendo puerta principal.
anteriorMelodia,Retrocediendo a la melodía previa. Acción confirmada.
abrirPuerta,Accionando mecanismo para abrir la puerta. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Solicitud recibida.
anteriorMelodia,Retrocediendo a la melodía previa. Por favor.
encenderLuces,Las luces han sido encendidas. Solicitud recibida.
anteriorMelodia,Volviendo a la pista anterior.
apagarLuces,Apagando luces del hogar. Acción confirmada.
apagarLuces,Desactivando iluminación general. Iniciando proceso.
modoSuper,Activando estado de máximo nivel. Por favor.
anteriorMelodia,Reproduciendo la melodía anterior. Procesando.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
modoNormal,Regresando al modo estándar. Procesando.
encenderLuces,Las luces han sido encendidas.
encenderLuces,Activando iluminación general. Acción confirmada.
modoNormal,Reestableciendo estado normal del sistema. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Ejecutando ahora.
abrirPuerta,Accionando mecanismo para abrir la puerta. Por favor.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
abrirPuerta,Abriendo puerta principal. Gracias.
abrirPuerta,Iniciando apertura de la puerta. Ejecutando ahora.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Iniciando proceso.
anteriorMelodia,Retrocediendo a la melodía previa. Acción confirmada.
modoNormal,Reestableciendo estado normal del sistema. Gracias.
anteriorMelodia,Retrocediendo a la melodía previa. Gracias.
abrirPuerta,Accionando mecanismo para abrir la puerta.
modoNormal,Modo normal activado. Ejecutando ahora.
modoSuper,Modo super activado. Por favor.
modoSuper,Activando estado de máximo nivel. Procesando.
siguienteMelodia,Cambiando a la melodía siguiente. Procesando.
modoNormal,Reestableciendo estado normal del sistema. Solicitud recibida.
modoNormal,Regresando al modo estándar. Ejecutando ahora.
anteriorMelodia,Retrocediendo a la melodía previa. Ejecutando ahora.
cerrarPuerta,Cerrando puerta principal. Gracias.
encenderLuces,Encendiendo luces del hogar. Por favor.
anteriorMelodia,Reproduciendo la melodía anterior. Por favor.
abrirPuerta,Abriendo puerta principal. Procesando.
abrirPuerta,Iniciando apertura de la puerta. Ejecutando ahora.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
anteriorMelodia,Reproduciendo la melodía anterior. Gracias.
abrirPuerta,Abriendo puerta principal. Iniciando proceso.
modoSuper,Entrando al modo super. Ejecutando ahora.
modoNormal,Modo normal activado. Iniciando proceso.
modoNormal,Regresando al modo estándar. Procesando.
abrirPuerta,Abriendo puerta principal. Solicitud recibida.
abrirPuerta,Abriendo puerta principal.
abrirPuerta,Accionando mecanismo para abrir la puerta. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Por favor.
abrirPuerta,Abriendo puerta principal. Por favor.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Iniciando proceso.
modoNormal,Modo normal activado. Solicitud recibida.
abrirPuerta,Abriendo puerta principal. Gracias.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
cerrarPuerta,Iniciando cierre de la puerta. Procesando.
modoNormal,Regresando al modo estándar. Iniciando proceso.
modoNormal,Regresando al modo estándar. Procesando.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Ejecutando ahora.
abrirPuerta,Abriendo puerta principal. Solicitud recibida.
cerrarPuerta,Iniciando cierre de la puerta. Acción confirmada.
encenderLuces,Las luces han sido encendidas. Acción confirmada.
encenderLuces,Las luces han sido encendidas. Procesando.
anteriorMelodia,Retrocediendo a la melodía previa. Solicitud recibida.
apagarLuces,Desactivando iluminación general. Iniciando proceso.
anteriorMelodia,Retrocediendo a la melodía previa. Ejecutando ahora.
abrirPuerta,Accionando mecanismo para abrir la puerta. Ejecutando ahora.
anteriorMelodia,Reproduciendo la melodía anterior. Procesando.
apagarLuces,Apagando luces del hogar. Gracias.
cerrarPuerta,Cerrando puerta principal. Acción confirmada.
anteriorMelodia,Volviendo a la pista anterior. Iniciando proceso.
encenderLuces,Encendiendo luces del hogar. Por favor.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Gracias.
siguienteMelodia,Cambiando a la melodía siguiente. Iniciando proceso.
modoNormal,Regresando al modo estándar. Gracias.
siguienteMelodia,Reproduciendo la siguiente melodía. Procesando.
modoSuper,Entrando al modo super.
modoSuper,Activando estado de máximo nivel. Gracias.
encenderLuces,Activando iluminación general. Iniciando proceso.
anteriorMelodia,Volviendo a la pista anterior. Acción confirmada.
abrirPuerta,Iniciando apertura de la puerta. Por favor.
modoSuper,Entrando al modo super. Por favor.
cerrarPuerta,Cerrando puerta principal. Solicitud recibida.
modoSuper,Modo super activado. Por favor.
modoNormal,Reestableciendo estado normal del sistema. Procesando.
modoSuper,Modo super activado.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
cerrarPuerta,Iniciando cierre de la puerta. Ejecutando ahora.
abrirPuerta,Accionando mecanismo para abrir la puerta. Ejecutando ahora.
encenderLuces,Activando iluminación general. Ejecutando ahora.
modoSuper,Modo super activado. Por favor.
apagarLuces,Apagando luces del hogar. Gracias.
apagarLuces,Las luces han sido apagadas. Solicitud recibida.
abrirPuerta,Iniciando apertura de la puerta. Ejecutando ahora.
modoNormal,Reestableciendo estado normal del sistema. Gracias.
abrirPuerta,Abriendo puerta principal. Iniciando proceso.
abrirPuerta,Accionando mecanismo para abrir la puerta. Iniciando proceso.
modoNormal,Regresando al modo estándar. Solicitud recibida.
